date,sp500_tr,rf
1900-01-31,6.178062455398155,
1900-02-28,6.30846008509201,
1900-03-31,6.37893503169479,
1900-04-30,6.480834952328891,
1900-05-31,6.1952539957347454,
1900-06-30,6.032423437485923,
1900-07-31,6.054942082997015,
1900-08-31,6.16085190612111,
1900-09-30,6.039631440375671,
1900-10-31,6.283039000580465,
1900-11-30,6.799873843494271,
1900-12-31,7.23535959118719,
1901-01-31,7.472474717430646,
1901-02-28,7.689435431379808,
1901-03-31,7.992151711293323,
1901-04-30,8.689797737338942,
1901-05-31,8.279532174017014,
1901-06-30,9.131941965542051,
1901-07-31,8.54747082109452,
1901-08-31,8.694177253335939,
1901-09-30,8.679308480048206,
1901-10-31,8.61029893668549,
1901-11-30,8.824222956727477,
1901-12-31,8.711371920564709,
1902-01-31,8.926946415638806,
1902-02-28,9.033375332418853,
1902-03-31,9.074047580939359,
1902-04-30,9.413706518488892,
1902-05-31,9.421495768575928,
1902-06-30,9.395974577319443,
1902-07-31,9.638582886411585,
1902-08-31,9.926871779778704,
1902-09-30,9.980038066443715,
1902-10-31,9.695137111584607,
1902-11-30,9.352847109399256,
1902-12-31,9.168400792011225,
1903-01-31,9.666844792419147,
1903-02-28,9.641449328410692,
1903-03-31,9.295132901384445,
1903-04-30,8.947782911269075,
1903-05-31,8.807148779210987,
1903-06-30,8.353271594317437,
1903-07-31,8.002474906646606,
1903-08-31,7.778882642436202,
1903-09-30,7.624888924967159,
1903-10-31,7.411452924186232,
1903-11-30,7.469495492813746,
1903-12-31,7.849115553024424,
1904-01-31,8.015048085904,
1904-02-29,7.8333996595359645,
1904-03-31,7.843442479612293,
1904-04-30,8.071069751265341,
1904-05-31,7.934657732765981,
1904-06-30,7.980434604301169,
1904-07-31,8.3447947694722,
1904-08-31,8.661037465056193,
1904-09-30,9.07699789490435,
1904-10-31,9.642935900038944,
1904-11-30,10.1980061016914,
1904-12-31,10.330110015901395,
1905-01-31,10.588018429298401,
1905-02-28,11.085527602884643,
1905-03-31,11.433524989282015,
1905-04-30,11.327896484477717,
1905-05-31,10.803981272070622,
1905-06-30,10.964981777301478,
1905-07-31,11.34341177338883,
1905-08-31,11.799887117704468,
1905-09-30,11.87310199701269,
1905-10-31,12.0753499343345,
1905-11-30,12.046139886460939,
1905-12-31,12.379317224888831,
1906-01-31,12.84384439937064,
1906-02-28,12.789807860496897,
1906-03-31,12.514381088331008,
1906-04-30,12.382746642207499,
1906-05-31,12.093772116467472,
1906-06-30,12.291931690452802,
1906-07-31,12.015561484380365,
1906-08-31,12.945761781893095,
1906-09-30,13.387321359628526,
1906-10-31,13.030092545980148,
1906-11-30,13.341917525356454,
1906-12-31,13.265780365930116,
1907-01-31,12.933607831987489,
1907-02-28,12.573593101427118,
1907-03-31,11.3843520692457,
1907-04-30,11.485845499419923,
1907-05-31,11.136375986921184,
1907-06-30,10.827032209506706,
1907-07-31,11.290046651348845,
1907-08-31,10.49330547012707,
1907-09-30,10.431757751012778,
1907-10-31,9.34812682588604,
1907-11-30,8.850299183312217,
1907-12-31,9.35535625670657,
1908-01-31,9.805882399525414,
1908-02-29,9.499693125135366,
1908-03-31,9.939893551514746,
1908-04-30,10.526677636269197,
1908-05-31,11.145010900325051,
1908-06-30,11.210741633026835,
1908-07-31,11.67256109120149,
1908-08-31,12.22441629691588,
1908-09-30,12.141785557217194,
1908-10-31,12.340767675279013,
1908-11-30,13.226569674284606,
1908-12-31,13.576082651710019,
1909-01-31,13.671714101396715,
1909-02-28,13.330512281388257,
1909-03-31,13.56404871813606,
1909-04-30,14.224675167895578,
1909-05-31,14.750812630047168,
1909-06-30,15.064822660074132,
1909-07-31,15.33426008780316,
1909-08-31,15.75935899652498,
1909-09-30,15.830312233657336,
1909-10-31,15.948547629167635,
1909-11-30,15.927332267259496,
1909-12-31,16.172448382701933,
1910-01-31,15.88491638172307,
1910-02-28,15.376036992014267,
1910-03-31,15.814683794920025,
1910-04-30,15.493150314149814,
1910-05-31,15.298224061697695,
1910-06-30,14.622792533869077,
1910-07-31,13.944881478899187,
1910-08-31,14.345689222023411,
1910-09-30,14.505423473483324,
1910-10-31,15.235985626538952,
1910-11-30,15.28332562122084,
1910-12-31,14.920804918605057,
1911-01-31,15.348095004211519,
1911-02-28,15.677850011943141,
1911-03-31,15.56008602722989,
1911-04-30,15.5586947462904,
1911-05-31,15.959677629927732,
1911-06-30,16.345482073337553,
1911-07-31,16.344073465782113,
1911-08-31,15.629833495185022,
1911-09-30,14.844364763556767,
1911-10-31,14.997031721428794,
1911-11-30,15.666337322910756,
1911-12-31,15.803079517478608,
1912-01-31,15.888484378244494,
1912-02-29,15.817593050376283,
1912-03-31,16.34141959013916,
1912-04-30,16.920295343416015,
1912-05-31,16.972373624704147,
1912-06-30,17.042501299301698,
1912-07-31,17.13082699758044,
1912-08-31,17.59477945242367,
1912-09-30,17.755825790004252,
1912-10-31,17.79158655137814,
1912-11-30,17.664899847682353,
1912-12-31,17.102092144416005,
1913-01-31,17.02916211394941,
1913-02-28,16.498145230826257,
1913-03-31,16.25904167675631,
1913-04-30,16.314470227927067,
1913-05-31,15.943264989521447,
1913-06-30,15.216028340876605,
1913-07-31,15.49711260825733,
1913-08-31,15.986693322491458,
1913-09-30,16.213723286834533,
1913-10-31,15.77654200242985,
1913-11-30,15.451843196084441,
1913-12-31,15.509427704889719,
1914-01-31,16.22236626076851,
1914-02-28,16.511474540405864,
1914-03-31,16.275387713987914,
1914-04-30,15.959139194705697,
1914-05-31,16.131931598753464,
1914-06-30,16.126995267174898,
1914-07-31,15.307917145517951,
1914-08-31,15.381001819389782,
1914-09-30,15.453600949071145,
1914-10-31,15.525704338915988,
1914-11-30,15.597301825287941,
1914-12-31,14.99818671611347,
1915-01-31,15.335016741592808,
1915-02-28,15.202048342194617,
1915-03-31,15.665954571245893,
1915-04-30,16.918558356333193,
1915-05-31,16.597126532032586,
1915-06-30,16.85895751139012,
1915-07-31,16.87045543224677,
1915-08-31,17.661446708739764,
1915-09-30,18.39249311816589,
1915-10-31,19.487742013115334,
1915-11-30,20.246285669227593,
1915-12-31,20.365780131863097,
1916-01-31,20.12245059287551,
1916-02-29,19.92325702381438,
1916-03-31,19.941754612989573,
1916-04-30,19.810060019412152,
1916-05-31,20.335015689276066,
1916-06-30,20.62293055542682,
1916-07-31,20.42937025101504,
1916-08-31,20.679609747399585,
1916-09-30,21.622329412183593,
1916-10-31,22.392643511756937,
1916-11-30,23.011395481605852,
1916-12-31,22.19251134595615,
1917-01-31,21.779383405152004,
1917-02-28,20.660771970646532,
1917-03-31,21.414386784359902,
1917-04-30,21.208005919244247,
1917-05-31,20.609425177841217,
1917-06-30,21.149278912983124,
1917-07-31,20.688354086230962,
1917-08-31,20.20325258678581,
1917-09-30,19.36194383188961,
1917-10-31,18.445569895420757,
1917-11-30,17.04437907810455,
1917-12-31,16.602532603423576,
1918-01-31,17.74192209581539,
1918-02-28,18.420675703503196,
1918-03-31,18.185148894373615,
1918-04-30,18.145597860835025,
1918-05-31,18.858670361145233,
1918-06-30,19.017093331248937,
1918-07-31,19.30213701205289,
1918-08-31,19.61270179975236,
1918-09-30,19.638576076533038,
1918-10-31,20.600102292481772,
1918-11-30,21.250953700789616,
1918-12-31,20.954336791194226,
1919-01-31,20.946976248840357,
1919-02-28,21.1522877474662,
1919-03-31,21.921787217128674,
1919-04-30,22.77595849717047,
1919-05-31,24.475626842192227,
1919-06-30,25.25555437906253,
1919-07-31,26.20314040280175,
1919-08-31,24.56447976388942,
1919-09-30,25.07681671499647,
1919-10-31,26.481577682418955,
1919-11-30,25.82287057545931,
1919-12-31,25.188304205677895,
1920-01-31,25.058479958384616,
1920-02-29,23.111386875698997,
1920-03-31,24.862573751620015,
1920-04-30,24.786891541824374,
1920-05-31,23.355808829870384,
1920-06-30,23.075693670206924,
1920-07-31,23.1724008333892,
1920-08-31,22.39039333665937,
1920-09-30,23.3122785009045,
1920-10-31,23.468607026684072,
1920-11-30,22.404304705274075,
1920-12-31,20.524799196910507,
1921-01-31,21.55601212572445,
1921-02-28,21.531176729663045,
1921-03-31,21.108660425212328,
1921-04-30,21.32682927139491,
1921-05-31,22.100788444615866,
1921-06-30,20.456938835936864,
1921-07-31,20.519610984431694,
1921-08-31,20.393052434294177,
1921-09-30,21.023419074462765,
1921-10-31,21.433789217591745,
1921-11-30,22.7092063118057,
1921-12-31,23.63665973294413,
1922-01-31,23.72940640736364,
1922-02-28,24.376357792326043,
1922-03-31,25.419950187758232,
1922-04-30,27.094004982261477,
1922-05-31,28.282269057853792,
1922-06-30,28.151025624847925,
1922-07-31,28.486727993541873,
1922-08-31,29.695517049695567,
1922-09-30,30.60843840482376,
1922-10-31,31.425367265376348,
1922-11-30,30.00732302003753,
1922-12-31,30.08404628912285,
1923-01-31,30.641326406268647,
1923-02-28,32.096875481708,
1923-03-31,32.76411925631427,
1923-04-30,31.767153085977867,
1923-05-31,30.416845444227103,
1923-06-30,29.411136598320326,
1923-07-31,28.5770275954525,
1923-08-31,28.87346402831558,
1923-09-30,29.207647639754423,
1923-10-31,28.934893605098107,
1923-11-30,29.958334844972082,
1923-12-31,31.13263878035038,
1924-01-31,32.31352465112513,
1924-02-29,32.62254026578146,
1924-03-31,32.16127642605954,
1924-04-30,31.58727157582317,
1924-05-31,31.642487365254244,
1924-06-30,32.4083326910957,
1924-07-31,34.07997802458378,
1924-08-31,35.4208156981922,
1924-09-30,35.25173882097474,
1924-10-31,34.96804171927405,
1924-11-30,37.09634942826122,
1924-12-31,39.27377173650718,
1925-01-31,41.075816797599444,
1925-02-28,41.60586177758926,
1925-03-31,40.69683023804845,
1925-04-30,40.45094539510393,
1925-05-31,41.93663884027365,
1925-06-30,42.87701822991379,
1925-07-31,44.25966973135248,
1925-08-31,45.05159218533696,
1925-09-30,46.288842392945384,
1925-10-31,48.0153572304471,
1925-11-30,49.71002877474963,
1925-12-31,50.72369167798678,
1926-01-31,51.7032573529479,
1926-02-28,51.99447135187261,
1926-03-31,48.67813100765541,
1926-04-30,47.53433919100644,
1926-05-31,48.08555947888124,
1926-06-30,50.59694845252955,
1926-07-31,52.954970977954524,0.0022000000
1926-08-31,55.28381478879167,0.0025000000
1926-09-30,56.36094323051309,0.0023000000
1926-10-31,55.32956335720696,0.0032000000
1926-11-30,56.29368737307995,0.0031000000
1926-12-31,57.81946396412439,0.0028000000
